case_id,faa_ors,faa_asn,usgs_pr_id,t_state,t_county,t_fips,p_name,p_year,p_tnum,p_cap,t_manu,t_model,t_cap,t_hh,t_rd,t_rsa,t_ttlh,t_conf_atr,t_conf_loc,t_img_date,t_img_srce,xlong,ylat
3036454,06-021099,2010-WTW-16674-OE,2584,CA,Kern County,6029,Alta I,2010,100,150,GE Wind,GE1.5-77,1500,80,77,4656.63,118.6,3,3,01/01/2012,NAIP,-118.388885,35.052197
3036468,06-021190,2010-WTW-16695-OE,2606,CA,Kern County,6029,Alta I,2010,100,150,GE Wind,GE1.5-77,1500,80,77,4656.63,118.6,3,3,01/01/2012,NAIP,-118.34729,35.057693
3036512,06-020899,2010-WTW-16745-OE,2444,CA,Kern County,6029,Alta I,2010,100,150,GE Wind,GE1.5-77,1500,80,77,4656.63,118.6,3,3,01/01/2012,NAIP,-118.36039,35.030296
3036507,06-021104,2010-WTW-16740-OE,2428,CA,Kern County,6029,Alta I,2010,100,150,GE Wind,GE1.5-77,1500,80,77,4656.63,118.6,3,3,01/01/2012,NAIP,-118.367584,35.028294
3033195,06-021097,2009-WTW-3860-OE,2588,CA,Kern County,6029,Alta I,2010,100,150,GE Wind,GE1.5-77,1500,80,77,4656.63,118.6,3,3,01/01/2012,NAIP,-118.387291,35.053795
3036460,06-021106,2010-WTW-16683-OE,2553,CA,Kern County,6029,Alta I,2010,100,150,GE Wind,GE1.5-77,1500,80,77,4656.63,118.6,3,3,01/01/2012,NAIP,-118.377388,35.046894
3036489,06-021169,2010-WTW-16718-OE,2472,CA,Kern County,6029,Alta I,2010,100,150,GE Wind,GE1.5-77,1500,80,77,4656.63,118.6,3,3,01/01/2012,NAIP,-118.3797,35.033554
3036470,06-021089,2010-WTW-16699-OE,2544,CA,Kern County,6029,Alta I,2010,100,150,GE Wind,GE1.5-77,1500,80,77,4656.63,118.6,3,3,01/01/2012,NAIP,-118.360588,35.045395
3036455,06-021098,2010-WTW-16675-OE,2586,CA,Kern County,6029,Alta I,2010,100,150,GE Wind,GE1.5-77,1500,80,77,4656.63,118.6,3,3,01/01/2012,NAIP,-118.388191,35.053097
3036518,06-021079,2010-WTW-16754-OE,2375,CA,Kern County,6029,Alta I,2010,100,150,GE Wind,GE1.5-77,1500,80,77,4656.63,118.6,3,3,01/01/2012,NAIP,-118.358086,35.022095
3033113,06-020900,2009-WTW-3676-OE,2449,CA,Kern County,6029,Alta I,2010,100,150,GE Wind,GE1.5-77,1500,80,77,4656.63,118.6,2,3,01/01/2012,NAIP,-118.358185,35.030697
3036464,06-021188,2010-WTW-16689-OE,2580,CA,Kern County,6029,Alta I,2010,100,150,GE Wind,GE1.5-77,1500,80,77,4656.63,118.6,3,3,01/01/2012,NAIP,-118.371284,35.051395
3036523,06-021184,2010-WTW-16759-OE,2407,CA,Kern County,6029,Alta I,2010,100,150,GE Wind,GE1.5-77,1500,80,77,4656.63,118.6,3,3,01/01/2012,NAIP,-118.347389,35.026096
3036504,06-021162,2010-WTW-16737-OE,2412,CA,Kern County,6029,Alta I,2010,100,150,GE Wind,GE1.5-77,1500,80,77,4656.63,118.6,3,3,01/01/2012,NAIP,-118.373291,35.026695
3048566,06-021090,2013-WTW-8507-OE,2540,CA,Kern County,6029,Alta I,2010,100,150,GE Wind,GE1.5-77,1500,80,77,4656.63,118.6,3,3,01/01/2012,NAIP,-118.361588,35.044796
3033111,06-021160,2009-WTW-3668-OE,2422,CA,Kern County,6029,Alta I,2010,100,150,GE Wind,GE1.5-77,1500,80,77,4656.63,118.6,2,3,01/01/2012,NAIP,-118.370987,35.027596
3036474,06-021021,2010-WTW-16702-OE,2555,CA,Kern County,6029,Alta I,2010,100,150,GE Wind,GE1.5-77,1500,80,77,4656.63,118.6,3,3,01/01/2012,NAIP,-118.357391,35.047195
3036499,06-020947,2010-WTW-16731-OE,2510,CA,Kern County,6029,Alta I,2010,100,150,GE Wind,GE1.5-77,1500,80,77,4656.63,118.6,3,3,01/01/2012,NAIP,-118.358185,35.037193
3033110,06-020976,2010-WTW-16728-OE,2485,CA,Kern County,6029,Alta I,2010,100,150,GE Wind,GE1.5-77,1500,80,77,4656.63,118.6,3,3,7/31/2016,Digital Globe,-118.362022,35.035137
3036476,06-021139,2010-WTW-16705-OE,2354,CA,Kern County,6029,Alta I,2010,100,150,GE Wind,GE1.5-77,1500,80,77,4656.63,118.6,3,3,01/01/2012,NAIP,-118.391891,35.019196
3036494,06-020981,2010-WTW-16724-OE,2500,CA,Kern County,6029,Alta I,2010,100,150,GE Wind,GE1.5-77,1500,80,77,4656.63,118.6,3,3,01/01/2012,NAIP,-118.368286,35.036194
3036483,06-021167,2010-WTW-16712-OE,2424,CA,Kern County,6029,Alta I,2010,100,150,GE Wind,GE1.5-77,1500,80,77,4656.63,118.6,3,3,01/01/2012,NAIP,-118.386787,35.027794
3036517,06-021085,2010-WTW-16753-OE,2371,CA,Kern County,6029,Alta I,2010,100,150,GE Wind,GE1.5-77,1500,80,77,4656.63,118.6,3,3,01/01/2012,NAIP,-118.359085,35.021496
3048567,06-021016,2013-WTW-8508-OE,2560,CA,Kern County,6029,Alta I,2010,100,150,GE Wind,GE1.5-77,1500,80,77,4656.63,118.6,3,3,01/01/2012,NAIP,-118.356491,35.047894
3036459,06-021093,2010-WTW-16682-OE,2549,CA,Kern County,6029,Alta I,2010,100,150,GE Wind,GE1.5-77,1500,80,77,4656.63,118.6,3,3,01/01/2012,NAIP,-118.378685,35.046494
3036511,06-020917,2010-WTW-16744-OE,2442,CA,Kern County,6029,Alta I,2010,100,150,GE Wind,GE1.5-77,1500,80,77,4656.63,118.6,3,3,01/01/2012,NAIP,-118.361191,35.029594
3036520,06-021109,2010-WTW-16756-OE,2385,CA,Kern County,6029,Alta I,2010,100,150,GE Wind,GE1.5-77,1500,80,77,4656.63,118.6,3,3,01/01/2012,NAIP,-118.355385,35.023594
3036492,06-020987,2010-WTW-16722-OE,2484,CA,Kern County,6029,Alta I,2010,100,150,GE Wind,GE1.5-77,1500,80,77,4656.63,118.6,3,3,01/01/2012,NAIP,-118.370285,35.035095
3036506,06-021157,2010-WTW-16739-OE,2421,CA,Kern County,6029,Alta I,2010,100,150,GE Wind,GE1.5-77,1500,80,77,4656.63,118.6,3,3,01/01/2012,NAIP,-118.36869,35.027496
3036484,06-021175,2010-WTW-16713-OE,2423,CA,Kern County,6029,Alta I,2010,100,150,GE Wind,GE1.5-77,1500,80,77,4656.63,118.6,3,3,01/01/2012,NAIP,-118.384361,35.027653